"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"76","40","BY4741","YPD","MATa","11.3526231013828","30","-2.23867471811849","29.7","-151.70547389094","0.00363197611087547","0.0951293459591216","-153.944148609058","33.1909292686434","2.93314611173807"
"77","80","BY4742","YPD","MATalpha","11.4124002622952","21","3.62750861529395","23.3125","-307.382630098708","0.012591634394727","0.0657282544576674","-303.755121483414","26.3959010048695","2.19773478829219"
"78","80","WT","YPD","MATalpha","9.78192598363774","23","5.13877307259673","25.1","-299.070668707052","0.00724253422400269","0.0872271206285357","-293.931895634456","28.2286296856279","2.79572722928539"
"79","120","WT SUB 62","YPD","MATa","11.6482016741168","25","3.16030278927337","25.5083333333333","-463.627127870411","0.00921926939944285","0.0714629231397876","-460.466825081138","28.8402620428052","2.37244273450329"
"80","80","BY4742","YPD","MATalpha","12.219245817743","32","1.16206439056242","32.8625","-313.749373910251","0.00396485980687699","0.079373680056739","-312.587309519689","36.8272026407156","2.9959531391309"
"81","40","BY4742","YPD","MATalpha","7.49696519796425","23","3.2416197019962","23.725","-139.908240281845","0.00451271638785144","0.122367075103156","-136.666620579849","26.3981332092545","3.47993094930105"
"82","80","BY4742","YPD","MATalpha","14.468161247146","31.5","1.68027743901672","33.0375","-326.862276769537","0.00645676842422206","0.0592311117092999","-325.18199933052","37.2616808131155","2.47563158852605"
"83","80","sgf73","YPD","MATalpha","18.4914922277821","22.5","-1.48255278051397","26.9625","-334.695616200095","0.0185411962525341","0.0298220519974087","-336.178168980609","29.7926370016118","1.45864299802319"
"84","80","rpn4","YPD","MATalpha","9.05355898968725","11","6.58943540387315","13.2125","-280.890419760417","0.0500018396072554","0.0366740557280726","-274.300984356543","14.8130643742149","1.58556478852956"
"85","80","spt8","YPD","MATalpha","12.9501478413925","21","-2.59101289288361","22.3","-311.66773375164","0.0165242066210617","0.0541213385453326","-314.258746644523","24.9178200802006","1.72928408293502"
"86","80","tor1","YPD","MATalpha","12.553656989","31","0.418587872085709","31.275","-315.253893173562","0.00513295369491728","0.0745451748164039","-314.835305301476","35.1425909342588","2.74100664119234"
"87","80","ump1","YPD","MATalpha","12.0246582098325","29","1.43739495615364","29.3","-312.888485746715","0.00630671675072454","0.0735529473912012","-311.451090790562","32.9356204337595","2.64675161587948"
"88","39","BY4742","YPD","MATalpha","12.01640803561","16","-1.83797444120728","17.974358974359","-146.612806097711","0.0260305426774434","0.0494590380612256","-148.450780538918","19.7071700307411","1.43849282084434"
"89","40","PSY316AUT","0.05% D","MATalpha","9.58618129365765","26","3.58873528255279","27.45","-150.029468238633","0.00575447356765468","0.0876882094104736","-146.44073295608","30.6757072485057","3.11809162496774"
"90","60","BY4742","YPD","MATalpha","11.1213135833502","21","3.67620867943239","22.6666666666667","-229.270032222738","0.0134413770934999","0.0656581031633183","-225.593823543305","25.7027696822935","2.21082889190396"
"91","40","BY4742","YPD","MATalpha","11.2108006530333","18.5","2.74273482006251","22.6","-153.013713759552","0.0136608789859915","0.0649771768150427","-150.27097893949","25.643520243559","2.19759765528947"
"92","40","BY4742","YPD","MATalpha","11.2108006530333","18.5","2.74273482006251","22.6","-153.013713759552","0.0136608789859915","0.0649771768150427","-150.27097893949","25.643520243559","2.19759765528947"
"93","39","BY4742","YPD","MATalpha","11.2107765775162","18","-3.27210682675408","16.2820512820513","-143.078996503688","0.0289564817976118","0.0536336770130012","-146.351103330442","17.4172753696064","1.27861436741371"
"94","40","Wild Type","YPD","MATalpha","8.93390975943588","24","4.5058333205593","24.325","-148.153467402185","0.00855468176059833","0.0846547966052704","-143.647634081626","27.2311161310945","2.90715930218213"
"95","40","BY4742","YPD","MATalpha","10.1728333546529","20.5","2.95770778676979","22.525","-150.097552948106","0.0115292903209401","0.0759345475783156","-147.139845161336","25.5105474957301","2.42757985338102"
"96","40","BY4742 Wild Type","YPD","MATalpha","9.59152938260817","22","1.3132037874089","22.95","-147.007230282354","0.00804263470731159","0.0935868307408422","-145.694026494945","25.8858701059539","2.64891433058993"
"97","40","BY4741 Wild Type","YPD","MATa","9.05166792959686","24.5","-4.05998296777133","22.625","-142.051600487066","0.00524252829691074","0.11932196565303","-146.111583454837","25.2217701981182","2.70528489426457"
"98","40","BY4742","YPD","MATalpha","11.9918775929847","13","0.646066946270224","17.3","-150.140646548131","0.0315057616342761","0.0406912344755","-149.494579601861","19.263398958016","1.50949638287949"
"99","80","BY4742","YPD","MATalpha","6.21094124422704","17","0.916833834337581","16.7375","-259.986818797893","0.00810248711753265","0.153293409829842","-259.069984963556","18.7285501574465","2.98383727743249"
"100","80","BY4741","YPD","MATa","5.38103502819704","11","11.4857918221167","11.8625","-255.94933135728","0.0331807099649983","0.101700300424464","-244.463539535163","13.3724593979173","2.30518455765072"
"101","37","BY4742","YPD","MATalpha","12.1855647381641","16","-2.27886963161876","17.8918918918919","-138.957574837995","0.0253270190313022","0.0514301737448362","-141.236444469614","19.5077731056474","1.3878579062845"
"102","80","Wild Type","YPD","MATalpha","7.61160631095115","24","0.825924206389516","22.6125","-276.046380054165","0.00431755931279848","0.132426100905261","-275.220455847775","25.1848977491094","3.34984970852104"
"103","40","BY4742","YPD","MATalpha","7.73665103457363","26.5","1.54349752170748","26.125","-139.310599623","0.00257570916330916","0.133162311824556","-137.767102101292","28.9273674409966","3.85001075860905"
