"","genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC"
"109","vph1","MATalpha","YPD",30,40,29.5,7.03835645150638,30.5,0.162009857433963,0.000800984548463893,-134.015125046029,272.030250092058,5.01104338171095,32.1932255999257,-133.475510405368,270.951020810735
"110","stv1","MATalpha","YPD",30,45,26,9.35657279913188,25,0.0711768954373491,0.00952115167575389,-171.163788056751,346.327576113503,2.89484955171424,29.0834477237527,-163.815616583607,331.631233167213
"111","whi5","MATalpha","YPD",30,384,24.4088541666667,10.5205021641301,24,0.068037610495767,0.011245616973284,-1469.58665618972,2943.17331237943,2.43248568017429,27.4402395806669,-1444.49107371973,2892.98214743947
"112","fob1 pmr1","MATalpha","YPD",30,79,23.3670886075949,13.1472695958279,23,0.0532912461192952,0.0153914382602283,-310.35350064916,624.70700129832,1.84558291181131,26.3001803840258,-310.510872322189,625.021744644379
"113","pmc1","MATalpha","YPD",30,225,30.9288888888889,10.4541648873577,33,0.106014891186798,0.00247032121504555,-838.008951699439,1680.01790339888,3.38226705333199,34.4055102905974,-847.388330092053,1698.77666018411
"114","spf1","MATalpha","YPD",30,45,24.8,8.83073146357753,23,0.0998611638735552,0.00596138723133336,-164.065302239194,332.130604478387,3.09717133927588,27.7689949099845,-160.778982433924,325.557964867849
"115","vcx1","MATalpha","YPD",30,45,30.5111111111111,8.63824009386124,31,0.123931534443627,0.00173153252135042,-160.985686503377,325.971373006754,4.08360738348259,33.6677534674882,-159.929123938103,323.858247876205
"116","vph1","MATalpha","0.05% D",30,20,28.8,11.1619654937744,28,0.0957024687226537,0.00396584700745509,-75.4760944629843,154.952188925969,2.97304530642567,32.285030893581,-75.9776719998714,155.955343999743
"117","stv1","MATalpha","0.05% D",30,20,31.05,10.2775944349065,30.5,0.0925452380046932,0.00350177133704944,-75.6191366931524,155.238273386305,3.40873819367628,34.6135330862687,-74.2686860192549,152.53737203851
"118","whi5","MATalpha","0.05% D",30,120,22.675,9.20737966720904,21,0.0782962076226387,0.0112146375000568,-445.820272688716,895.640545377431,2.62974698672689,25.523414188379,-433.574678030843,871.149356061686
"119","fob1 pmr1","MATalpha","0.05% D",30,46,8.80434782608696,5.52818863328825,8.5,0.0853551667113473,0.0606191840403655,-140.372952090901,284.745904181802,1.71526767810948,9.92901118011174,-137.177931190855,278.35586238171
"120","pmc1","MATalpha","0.05% D",30,60,29.3166666666667,11.7336134083163,28.5,0.0727763126923125,0.00646665630834004,-234.454416544859,472.908833089718,2.72150922539323,32.9557446193383,-231.632769792713,467.265539585426
"121","spf1","MATalpha","0.05% D",30,20,27.1,8.74733041983005,28.5,0.108146806306834,0.00386980766619577,-72.475439988806,148.950879977612,3.50110594361491,30.1475181561163,-71.0971907814629,146.194381562926
"122","vcx1","MATalpha","0.05% D",30,20,25.3,9.40940179316747,24,0.0754926557498388,0.00923050831596132,-75.5055389983029,155.011077996606,2.86751044520548,28.3718423757996,-72.4150256284061,148.830051256812
"123","dbp3","MATalpha","YPD",30,120,31.5416666666667,10.2775727387628,31,0.0955154477605133,0.00306530989896987,-452.986792630405,909.97358526081,3.4455810483471,35.1484474516929,-448.025973696262,900.051947392524
"124","dbp3 fob1","MATalpha","YPD",30,80,32.975,11.7376112981876,33,0.0781543216373333,0.00412374797527301,-313.10832401624,630.21664803248,3.04175951791836,36.7659883065114,-311.221931860853,626.443863721707
"125","dbp3 hap4","MATalpha","YPD",30,40,27.725,8.98713467928403,28,0.104924900028361,0.00383964707957138,-146.133278669144,296.266557338288,3.46453662214547,30.8685005350516,-143.724469462313,291.448938924626
"126","dbp3 hmo1","MATalpha","YPD",30,40,18.725,7.51745831296586,19,0.103672682511392,0.0119625843759374,-139.383730337973,282.767460675945,2.70470356623588,21.0316992971835,-136.578343766389,277.156687532778
"127","rpl6b","MATalpha","YPD",30,270,30.9074074074074,11.026612819878,31,0.0756520537460158,0.00537888702232184,-1049.50753287534,2103.01506575068,3.03114907338695,34.5564818496543,-1030.00677597647,2064.01355195294
"128","fob1 rpl6b","MATalpha","YPD",30,40,29.975,9.74939182850095,30.5,0.110627831781182,0.00250837575565124,-146.882024807819,297.764049615639,3.4937573260655,33.2361236765765,-147.754354251804,299.508708503607
"129","hap4 rpl6b","MATalpha","YPD",30,40,31.225,9.14971626293995,31,0.105559736685644,0.00252669907384023,-147.389553875052,298.779107750104,3.80210371966277,34.570074442447,-144.728679412625,293.45735882525
